#ts enqueued_b enqueued_t bwe cur level max_level player_status paused_time downloaded_bytes cpu mem rss vms ts_start_req ts_stop_req url_segment byterange fragment_duration q0 q1 q2 q3 q4 q5
1574949228.66 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.364 48951296.000 364158976.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949228.76 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.365 49602560.000 364302336.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949228.86 59746 4.938 5.003 0.100 0 5 0 0.000 62068 9.091 2.382 49721344.000 364437504.000 1574949228.760 1574949228.860 http://192.168.1.254/car-20120827-160.mp4 62068-123084 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949228.97 119759 9.943 4.916 0.100 0 5 0 0.000 123085 10.000 2.385 49963008.000 364584960.000 1574949228.863 1574949228.962 http://192.168.1.254/car-20120827-160.mp4 123085-184134 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949229.07 179805 14.948 4.926 0.100 0 5 0 0.000 184135 10.000 2.388 50032640.000 364584960.000 1574949228.966 1574949229.065 http://192.168.1.254/car-20120827-160.mp4 184135-245159 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949229.17 239809 19.887 4.898 0.265 1 5 1 0.832 245160 9.091 2.396 50094080.000 364769280.000 1574949229.068 1574949229.168 http://192.168.1.254/car-20120827-85.mp4 680646-850583 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949229.27 239792 19.820 4.898 0.265 1 5 1 0.832 245160 10.000 2.397 50274304.000 364769280.000 1574949229.174 1574949229.168 http://192.168.1.254/car-20120827-85.mp4 680646-850583 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949229.38 239758 19.687 4.898 0.265 1 5 1 0.832 245160 10.000 2.402 50278400.000 364769280.000 1574949229.174 1574949229.168 http://192.168.1.254/car-20120827-85.mp4 680646-850583 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949229.48 408623 24.625 4.863 0.100 0 5 1 0.832 415098 10.000 2.420 50663424.000 365170688.000 1574949229.455 1574949229.453 http://192.168.1.254/car-20120827-160.mp4 306193-367101 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949229.58 468494 29.497 4.858 0.265 1 5 1 0.832 476007 20.000 2.420 50774016.000 365170688.000 1574949229.558 1574949229.556 http://192.168.1.254/car-20120827-85.mp4 1022790-1193041 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949229.68 468477 29.430 4.858 0.265 1 5 1 0.832 476007 10.000 2.420 50774016.000 365170688.000 1574949229.558 1574949229.556 http://192.168.1.254/car-20120827-85.mp4 1022790-1193041 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949229.78 468021 29.297 4.858 0.265 1 5 1 0.832 476007 9.091 2.426 50774016.000 365379584.000 1574949229.558 1574949229.556 http://192.168.1.254/car-20120827-85.mp4 1022790-1193041 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949229.88 636991 34.236 4.798 0.100 0 5 1 0.832 646259 10.000 2.431 50884608.000 365379584.000 1574949229.844 1574949229.842 http://192.168.1.254/car-20120827-160.mp4 428106-489117 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949229.99 695984 39.107 4.888 0.265 1 5 1 0.832 707271 10.000 2.431 51007488.000 365379584.000 1574949229.946 1574949229.944 http://192.168.1.254/car-20120827-85.mp4 1363046-1532644 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949230.09 695606 39.041 4.888 0.265 1 5 1 0.832 707271 10.000 2.431 51007488.000 365379584.000 1574949229.946 1574949229.944 http://192.168.1.254/car-20120827-85.mp4 1363046-1532644 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949230.19 694119 38.907 4.888 0.265 1 5 1 0.832 707271 10.000 2.438 51007488.000 365600768.000 1574949229.946 1574949229.944 http://192.168.1.254/car-20120827-85.mp4 1363046-1532644 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949230.29 861616 43.846 4.802 0.687 2 5 1 0.832 876870 10.000 2.442 51154944.000 365600768.000 1574949230.231 1574949230.229 http://192.168.1.254/car-20120827-86.mp4 4951315-5247711 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949230.39 859493 43.713 4.802 0.687 2 5 1 0.832 876870 10.000 2.442 51228672.000 365600768.000 1574949230.231 1574949230.229 http://192.168.1.254/car-20120827-86.mp4 4951315-5247711 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949230.49 857034 43.579 4.802 0.687 2 5 1 0.832 876870 9.091 2.442 51228672.000 365600768.000 1574949230.231 1574949230.229 http://192.168.1.254/car-20120827-86.mp4 4951315-5247711 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949230.60 855433 43.513 4.802 0.687 2 5 1 0.832 876870 10.000 2.465 51499008.000 366080000.000 1574949230.231 1574949230.229 http://192.168.1.254/car-20120827-86.mp4 4951315-5247711 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949230.70 852825 43.379 4.802 0.687 2 5 1 0.832 876870 10.000 2.474 51712000.000 366387200.000 1574949230.231 1574949230.229 http://192.168.1.254/car-20120827-86.mp4 4951315-5247711 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949230.80 1146474 48.318 4.804 0.100 0 5 1 0.832 1173267 20.000 2.477 51892224.000 366387200.000 1574949230.727 1574949230.725 http://192.168.1.254/car-20120827-160.mp4 611049-672107 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949230.90 1204408 53.190 4.875 0.265 1 5 1 0.832 1234326 10.000 2.490 52228096.000 366387200.000 1574949230.830 1574949230.828 http://192.168.1.254/car-20120827-85.mp4 1871396-2041046 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949231.00 1203071 53.123 4.875 0.265 1 5 1 0.832 1234326 0.000 2.490 52228096.000 366387200.000 1574949230.830 1574949230.828 http://192.168.1.254/car-20120827-85.mp4 1871396-2041046 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949231.10 1201052 52.990 4.875 0.265 1 5 1 0.832 1234326 9.091 2.490 52228096.000 366387200.000 1574949230.830 1574949230.828 http://192.168.1.254/car-20120827-85.mp4 1871396-2041046 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949231.20 1368809 57.928 4.804 0.687 2 5 1 0.832 1403977 20.000 2.490 52228096.000 366387200.000 1574949231.115 1574949231.112 http://192.168.1.254/car-20120827-86.mp4 5987682-6281412 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949231.30 1366991 57.795 4.804 0.687 2 5 1 0.832 1403977 0.000 2.490 52228096.000 366387200.000 1574949231.115 1574949231.112 http://192.168.1.254/car-20120827-86.mp4 5987682-6281412 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949231.41 1365897 57.728 4.804 0.687 2 5 1 0.832 1403977 20.000 2.498 52228096.000 366632960.000 1574949231.115 1574949231.112 http://192.168.1.254/car-20120827-86.mp4 5987682-6281412 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949231.51 1363813 57.595 4.804 0.687 2 5 1 0.832 1403977 10.000 2.501 52404224.000 366632960.000 1574949231.115 1574949231.112 http://192.168.1.254/car-20120827-86.mp4 5987682-6281412 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574949231.61 1654663 62.575 4.797 0.869 3 5 1 0.832 1697708 10.000 2.531 52994048.000 367226880.000 1574949231.115 1574949231.605 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
