#ts enqueued_b enqueued_t bwe cur level max_level player_status paused_time downloaded_bytes cpu mem rss vms ts_start_req ts_stop_req url_segment byterange fragment_duration q0 q1 q2 q3 q4 q5
1574633319.52 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.359 48918528.000 364171264.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633319.62 0 0.000 0.000 0.100 0 5 0 0.000 0 9.091 2.360 49500160.000 364318720.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633319.73 0 0.000 0.000 0.100 0 5 0 0.000 0 10.000 2.368 49516544.000 364453888.000 1574633319.625 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633319.83 59746 4.938 4.923 0.100 0 5 0 0.000 62068 10.000 2.377 49823744.000 364453888.000 1574633319.729 1574633319.726 http://192.168.1.254/car-20120827-160.mp4 62068-123084 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633319.93 119759 9.943 4.959 0.100 0 5 0 0.000 123085 10.000 2.383 49864704.000 364601344.000 1574633319.830 1574633319.827 http://192.168.1.254/car-20120827-160.mp4 123085-184134 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633320.03 179788 14.882 4.882 0.100 0 5 1 0.888 184135 9.091 2.388 49987584.000 364601344.000 1574633319.935 1574633319.930 http://192.168.1.254/car-20120827-160.mp4 184135-245159 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633320.13 239792 19.820 4.886 0.265 1 5 1 0.888 245160 20.000 2.392 50106368.000 364785664.000 1574633320.040 1574633320.035 http://192.168.1.254/car-20120827-85.mp4 680646-850583 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633320.23 239758 19.687 4.886 0.265 1 5 1 0.888 245160 0.000 2.397 50171904.000 364785664.000 1574633320.040 1574633320.035 http://192.168.1.254/car-20120827-85.mp4 680646-850583 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633320.34 408623 24.625 4.849 0.100 0 5 1 0.888 415098 30.000 2.415 50552832.000 365170688.000 1574633320.324 1574633320.320 http://192.168.1.254/car-20120827-160.mp4 306193-367101 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633320.44 468494 29.497 5.013 0.265 1 5 1 0.888 476007 10.000 2.415 50671616.000 365170688.000 1574633320.425 1574633320.422 http://192.168.1.254/car-20120827-85.mp4 1022790-1193041 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633320.54 468477 29.430 5.013 0.265 1 5 1 0.888 476007 0.000 2.415 50671616.000 365170688.000 1574633320.425 1574633320.422 http://192.168.1.254/car-20120827-85.mp4 1022790-1193041 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633320.64 468021 29.297 5.013 0.265 1 5 1 0.888 476007 20.000 2.421 50671616.000 365412352.000 1574633320.425 1574633320.422 http://192.168.1.254/car-20120827-85.mp4 1022790-1193041 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633320.75 636991 34.236 4.812 0.100 0 5 1 0.888 646259 10.000 2.424 50794496.000 365412352.000 1574633320.710 1574633320.708 http://192.168.1.254/car-20120827-160.mp4 428106-489117 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633320.85 695984 39.107 4.918 0.265 1 5 1 0.888 707271 9.091 2.424 50843648.000 365412352.000 1574633320.813 1574633320.810 http://192.168.1.254/car-20120827-85.mp4 1363046-1532644 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633320.96 695606 39.041 4.918 0.265 1 5 1 0.888 707271 20.000 2.424 50843648.000 365412352.000 1574633320.813 1574633320.810 http://192.168.1.254/car-20120827-85.mp4 1363046-1532644 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633321.06 694119 38.907 4.918 0.265 1 5 1 0.888 707271 0.000 2.424 50843648.000 365412352.000 1574633320.813 1574633320.810 http://192.168.1.254/car-20120827-85.mp4 1363046-1532644 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633321.16 860319 43.779 4.817 0.687 2 5 1 0.888 876870 10.000 2.439 51109888.000 365789184.000 1574633321.097 1574633321.094 http://192.168.1.254/car-20120827-86.mp4 4951315-5247711 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633321.26 859493 43.713 4.817 0.687 2 5 1 0.888 876870 9.091 2.439 51171328.000 365789184.000 1574633321.097 1574633321.094 http://192.168.1.254/car-20120827-86.mp4 4951315-5247711 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633321.36 857034 43.579 4.817 0.687 2 5 1 0.888 876870 20.000 2.439 51171328.000 365789184.000 1574633321.097 1574633321.094 http://192.168.1.254/car-20120827-86.mp4 4951315-5247711 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633321.47 855433 43.513 4.817 0.687 2 5 1 0.888 876870 10.000 2.462 51437568.000 366141440.000 1574633321.097 1574633321.094 http://192.168.1.254/car-20120827-86.mp4 4951315-5247711 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633321.57 852825 43.379 4.817 0.687 2 5 1 0.888 876870 10.000 2.471 51654656.000 366448640.000 1574633321.097 1574633321.094 http://192.168.1.254/car-20120827-86.mp4 4951315-5247711 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633321.67 1146474 48.318 4.804 0.100 0 5 1 0.888 1173267 10.000 2.473 51830784.000 366448640.000 1574633321.594 1574633321.591 http://192.168.1.254/car-20120827-160.mp4 611049-672107 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633321.77 1204408 53.190 4.931 0.265 1 5 1 0.888 1234326 9.091 2.486 52150272.000 366448640.000 1574633321.696 1574633321.693 http://192.168.1.254/car-20120827-85.mp4 1871396-2041046 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633321.87 1203071 53.123 4.931 0.265 1 5 1 0.888 1234326 10.000 2.486 52150272.000 366448640.000 1574633321.696 1574633321.693 http://192.168.1.254/car-20120827-85.mp4 1871396-2041046 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633321.97 1201052 52.990 4.931 0.265 1 5 1 0.888 1234326 10.000 2.486 52154368.000 366448640.000 1574633321.696 1574633321.693 http://192.168.1.254/car-20120827-85.mp4 1871396-2041046 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633322.07 1368809 57.928 4.809 0.687 2 5 1 0.888 1403977 20.000 2.486 52154368.000 366448640.000 1574633321.982 1574633321.979 http://192.168.1.254/car-20120827-86.mp4 5987682-6281412 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633322.18 1366991 57.795 4.809 0.687 2 5 1 0.888 1403977 10.000 2.486 52154368.000 366448640.000 1574633321.982 1574633321.979 http://192.168.1.254/car-20120827-86.mp4 5987682-6281412 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633322.28 1365897 57.728 4.809 0.687 2 5 1 0.888 1403977 0.000 2.489 52154368.000 366448640.000 1574633321.982 1574633321.979 http://192.168.1.254/car-20120827-86.mp4 5987682-6281412 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633322.38 1363813 57.595 4.809 0.687 2 5 1 0.888 1403977 10.000 2.492 52219904.000 366583808.000 1574633321.982 1574633321.979 http://192.168.1.254/car-20120827-86.mp4 5987682-6281412 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633322.48 1654663 62.575 4.813 0.869 3 5 1 0.888 1697708 20.000 2.495 52281344.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633322.58 1652861 62.442 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633322.68 1651775 62.375 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633322.78 1650234 62.242 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633322.89 1649597 62.175 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633322.99 1647609 62.042 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633323.09 1646126 61.909 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633323.19 1645545 61.842 4.813 0.869 3 5 1 0.888 1697708 10.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633323.29 1643482 61.709 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633323.40 1642902 61.642 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633323.50 1641477 61.509 4.813 0.869 3 5 1 0.888 1697708 10.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633323.61 1640677 61.442 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633323.71 1639128 61.309 4.813 0.869 3 5 1 0.888 1697708 10.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633323.81 1638056 61.242 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633323.92 1636616 61.109 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633324.02 1635670 61.042 4.813 0.869 3 5 1 0.888 1697708 10.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633324.12 1634098 60.909 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633324.22 1632453 60.775 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633324.33 1631380 60.709 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633324.43 1629753 60.575 4.813 0.869 3 5 1 0.888 1697708 10.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633324.53 1629069 60.509 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633324.63 1627238 60.375 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633324.74 1626588 60.309 4.813 0.869 3 5 1 0.888 1697708 10.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574633324.84 1625027 60.175 4.813 0.869 3 5 1 0.888 1697708 0.000 2.495 52338688.000 366583808.000 1574633321.982 1574633322.470 http://192.168.1.254/car-20120827-87.mp4 7697596-8336570 5.000 0.100 0.265 0.687 0.869 2.074 4.191
