#ts enqueued_b enqueued_t bwe cur level max_level player_status paused_time downloaded_bytes cpu mem rss vms ts_start_req ts_stop_req url_segment byterange fragment_duration q0 q1 q2 q3 q4 q5
1574691181.42 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.347 48566272.000 364175360.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574691181.53 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.348 49250304.000 364318720.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574691181.63 0 0.000 0.000 0.100 0 5 0 0.000 0 10.000 2.355 49262592.000 364453888.000 1574691181.528 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574691181.73 59746 4.938 4.889 0.100 0 5 0 0.000 62068 20.000 2.366 49512448.000 364453888.000 1574691181.632 1574691181.630 http://192.168.1.254/car-20120827-160.mp4 62068-123084 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574691181.83 119759 9.943 4.873 0.265 1 5 0 0.000 123085 18.182 2.372 49627136.000 364601344.000 1574691181.735 1574691181.732 http://192.168.1.254/car-20120827-85.mp4 341274-510958 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574691181.93 119759 9.943 4.873 0.265 1 5 0 0.000 123085 10.000 2.387 50016256.000 364888064.000 1574691181.735 1574691181.732 http://192.168.1.254/car-20120827-85.mp4 341274-510958 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574691182.04 288371 14.882 4.835 0.687 2 5 1 0.964 292770 10.000 2.395 50081792.000 365035520.000 1574691182.018 1574691182.016 http://192.168.1.254/car-20120827-86.mp4 1943244-2280649 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574691182.14 288354 14.815 4.835 0.687 2 5 1 0.964 292770 0.000 2.395 50237440.000 365035520.000 1574691182.018 1574691182.016 http://192.168.1.254/car-20120827-86.mp4 1943244-2280649 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574691182.24 288320 14.682 4.835 0.687 2 5 1 0.964 292770 20.000 2.397 50237440.000 365035520.000 1574691182.018 1574691182.016 http://192.168.1.254/car-20120827-86.mp4 1943244-2280649 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574691182.34 288303 14.615 4.835 0.687 2 5 1 0.964 292770 9.091 2.406 50286592.000 365314048.000 1574691182.018 1574691182.016 http://192.168.1.254/car-20120827-86.mp4 1943244-2280649 5.000 0.100 0.265 0.687 0.869 2.074 4.191
