#ts enqueued_b enqueued_t bwe cur level max_level player_status paused_time downloaded_bytes cpu mem rss vms ts_start_req ts_stop_req url_segment byterange fragment_duration q0 q1 q2 q3 q4 q5
1571825857.09 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.210 45797376.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825857.19 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.211 46379008.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825857.29 59746 4.938 4.974 0.100 0 5 0 0.000 62068 9.091 2.224 46489600.000 363212800.000 1571825857.190 1571825857.290 http://192.168.1.254/car-20120827-160.mp4 62068-123084 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825857.40 119759 9.943 4.945 4.191 5 5 0 0.000 123085 10.000 2.228 46665728.000 363401216.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825857.50 119759 9.943 4.945 4.191 5 5 0 0.000 123085 10.000 2.229 46735360.000 363401216.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825857.60 119759 9.943 4.945 4.191 5 5 0 0.000 123085 20.000 2.241 46759936.000 363560960.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825857.70 119759 9.943 4.945 4.191 5 5 0 0.000 123085 10.000 2.251 47017984.000 363855872.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825857.80 119759 9.943 4.945 4.191 5 5 0 0.000 123085 0.000 2.259 47214592.000 363999232.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825857.90 119759 9.943 4.945 4.191 5 5 0 0.000 123085 20.000 2.268 47382528.000 364167168.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825858.00 119759 9.943 4.945 4.191 5 5 0 0.000 123085 0.000 2.276 47579136.000 364322816.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825858.10 119759 9.943 4.945 4.191 5 5 0 0.000 123085 20.000 2.285 47747072.000 364601344.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825858.21 119759 9.943 4.945 4.191 5 5 0 0.000 123085 10.000 2.294 47935488.000 364752896.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825858.31 119759 9.943 4.945 4.191 5 5 0 0.000 123085 10.000 2.302 48115712.000 364908544.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825858.41 119759 9.943 4.945 4.191 5 5 0 0.000 123085 10.000 2.311 48283648.000 365051904.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825858.51 119759 9.943 4.945 4.191 5 5 0 0.000 123085 10.000 2.318 48476160.000 365195264.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825858.61 119759 9.943 4.945 4.191 5 5 0 0.000 123085 9.091 2.328 48635904.000 365498368.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825858.71 119759 9.943 4.945 4.191 5 5 0 0.000 123085 10.000 2.300 48123904.000 364912640.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825858.81 119759 9.943 4.945 4.191 5 5 0 0.000 123085 20.000 2.269 47595520.000 364130304.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825858.91 119759 9.943 4.945 4.191 5 5 0 0.000 123085 20.000 2.314 48431104.000 365178880.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825859.02 119759 9.943 4.945 4.191 5 5 0 0.000 123085 20.000 2.273 47685632.000 364269568.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825859.12 119759 9.943 4.945 4.191 5 5 0 0.000 123085 10.000 2.276 47747072.000 364404736.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825859.22 119759 9.943 4.945 4.191 5 5 0 0.000 123085 20.000 2.331 48881664.000 365494272.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825859.32 119759 9.943 4.945 4.191 5 5 0 0.000 123085 20.000 2.281 47861760.000 364539904.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825859.42 119759 9.943 4.945 4.191 5 5 0 0.000 123085 30.000 2.343 49004544.000 365752320.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825859.52 119759 9.943 4.945 4.191 5 5 0 0.000 123085 20.000 2.348 49065984.000 365948928.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825859.62 119759 9.943 4.945 4.191 5 5 0 0.000 123085 18.182 2.290 48050176.000 364675072.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825859.73 119759 9.943 4.945 4.191 5 5 0 0.000 123085 30.000 2.293 48111616.000 364675072.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825859.83 119759 9.943 4.945 4.191 5 5 0 0.000 123085 20.000 2.365 49512448.000 366264320.000 1571825857.393 1571825857.392 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
