#ts enqueued_b enqueued_t bwe cur level max_level player_status paused_time downloaded_bytes cpu mem rss vms ts_start_req ts_stop_req url_segment byterange fragment_duration q0 q1 q2 q3 q4 q5
1538748850.21 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.218 45858816.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748850.31 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.219 46538752.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748850.42 59746 4.938 4.982 0.100 0 5 0 0.000 62068 10.000 2.235 46649344.000 363216896.000 1538748850.312 1538748850.412 http://192.168.1.254/car-20120827-160.mp4 62068-123084 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748850.52 119759 9.943 4.936 4.191 5 5 0 0.000 123085 9.091 2.239 46891008.000 363401216.000 1538748850.417 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748850.62 119759 9.943 4.936 4.191 5 5 0 0.000 123085 10.000 2.240 46960640.000 363401216.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748850.72 119759 9.943 4.936 4.191 5 5 0 0.000 123085 20.000 2.252 46989312.000 363560960.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748850.82 119759 9.943 4.936 4.191 5 5 0 0.000 123085 10.000 2.261 47251456.000 363872256.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748850.93 119759 9.943 4.936 4.191 5 5 0 0.000 123085 10.000 2.270 47431680.000 364015616.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748851.03 119759 9.943 4.936 4.191 5 5 0 0.000 123085 20.000 2.278 47624192.000 364167168.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748851.13 119759 9.943 4.936 4.191 5 5 0 0.000 123085 10.000 2.287 47783936.000 364302336.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748851.23 119759 9.943 4.936 4.191 5 5 0 0.000 123085 20.000 2.296 47980544.000 364580864.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748851.33 119759 9.943 4.936 4.191 5 5 0 0.000 123085 9.091 2.304 48168960.000 364716032.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748851.44 119759 9.943 4.936 4.191 5 5 0 0.000 123085 10.000 2.313 48340992.000 364859392.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748851.54 119759 9.943 4.936 4.191 5 5 0 0.000 123085 20.000 2.322 48529408.000 365142016.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748851.64 119759 9.943 4.936 4.191 5 5 0 0.000 123085 10.000 2.331 48721920.000 365293568.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748851.74 119759 9.943 4.936 4.191 5 5 0 0.000 123085 18.182 2.340 48893952.000 365449216.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748851.84 119759 9.943 4.936 4.191 5 5 0 0.000 123085 10.000 2.280 47820800.000 364130304.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748851.94 119759 9.943 4.936 4.191 5 5 0 0.000 123085 20.000 2.320 48627712.000 364982272.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748852.05 119759 9.943 4.936 4.191 5 5 0 0.000 123085 30.000 2.281 47849472.000 364204032.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748852.15 119759 9.943 4.936 4.191 5 5 0 0.000 123085 30.000 2.288 48005120.000 364314624.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748852.25 119759 9.943 4.936 4.191 5 5 0 0.000 123085 20.000 2.291 48066560.000 364376064.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748852.35 119759 9.943 4.936 4.191 5 5 0 0.000 123085 36.364 2.294 48128000.000 364437504.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748852.45 119759 9.943 4.936 4.191 5 5 0 0.000 123085 30.000 2.347 49135616.000 365649920.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748852.56 119759 9.943 4.936 4.191 5 5 0 0.000 123085 20.000 2.352 49192960.000 365776896.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538748852.66 119759 9.943 4.936 4.191 5 5 0 0.000 123085 30.000 2.303 48312320.000 364621824.000 1538748850.519 1538748850.516 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
