#ts enqueued_b enqueued_t bwe cur level max_level player_status paused_time downloaded_bytes cpu mem rss vms ts_start_req ts_stop_req url_segment byterange fragment_duration q0 q1 q2 q3 q4 q5
1538749320.76 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.212 45740032.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749320.86 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.214 46424064.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749320.97 0 0.000 0.000 0.100 0 5 0 0.000 0 10.000 2.221 46436352.000 363216896.000 1538749320.864 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749321.07 59746 4.938 4.861 0.100 0 5 0 0.000 62068 20.000 2.230 46686208.000 363405312.000 1538749320.968 1538749320.966 http://192.168.1.254/car-20120827-160.mp4 62068-123084 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749321.17 119759 9.943 4.822 4.191 5 5 0 0.000 123085 10.000 2.233 46780416.000 363405312.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749321.27 119759 9.943 4.822 4.191 5 5 0 0.000 123085 9.091 2.249 47120384.000 363737088.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749321.37 119759 9.943 4.822 4.191 5 5 0 0.000 123085 20.000 2.259 47181824.000 363884544.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749321.48 119759 9.943 4.822 4.191 5 5 0 0.000 123085 0.000 2.267 47382528.000 364027904.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749321.58 119759 9.943 4.822 4.191 5 5 0 0.000 123085 20.000 2.275 47550464.000 364175360.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749321.68 119759 9.943 4.822 4.191 5 5 0 0.000 123085 10.000 2.285 47734784.000 364457984.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749321.78 119759 9.943 4.822 4.191 5 5 0 0.000 123085 18.182 2.293 47931392.000 364597248.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749321.88 119759 9.943 4.822 4.191 5 5 0 0.000 123085 10.000 2.302 48095232.000 364748800.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749321.98 119759 9.943 4.822 4.191 5 5 0 0.000 123085 20.000 2.311 48291840.000 365039616.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749322.09 119759 9.943 4.822 4.191 5 5 0 0.000 123085 10.000 2.320 48484352.000 365191168.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749322.19 119759 9.943 4.822 4.191 5 5 0 0.000 123085 20.000 2.328 48664576.000 365330432.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749322.29 119759 9.943 4.822 4.191 5 5 0 0.000 123085 20.000 2.336 48828416.000 365477888.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749322.39 119759 9.943 4.822 4.191 5 5 0 0.000 123085 9.091 2.308 48300032.000 364978176.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749322.49 119759 9.943 4.822 4.191 5 5 0 0.000 123085 20.000 2.275 47722496.000 364216320.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749322.59 119759 9.943 4.822 4.191 5 5 0 0.000 123085 30.000 2.277 47771648.000 364290048.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749322.70 119759 9.943 4.822 4.191 5 5 0 0.000 123085 30.000 2.286 47951872.000 364376064.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749322.80 119759 9.943 4.822 4.191 5 5 0 0.000 123085 20.000 2.333 48705536.000 365436928.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749322.90 119759 9.943 4.822 4.191 5 5 0 0.000 123085 36.364 2.292 48074752.000 364498944.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749323.00 119759 9.943 4.822 4.191 5 5 0 0.000 123085 20.000 2.344 49090560.000 365682688.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749323.10 119759 9.943 4.822 4.191 5 5 0 0.000 123085 20.000 2.351 49180672.000 365879296.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749323.20 119759 9.943 4.822 4.191 5 5 0 0.000 123085 40.000 2.300 48254976.000 364679168.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749323.31 119759 9.943 4.822 4.191 5 5 0 0.000 123085 30.000 2.298 48209920.000 364703744.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749323.41 119759 9.943 4.822 4.191 5 5 0 0.000 123085 20.000 2.301 48271360.000 364756992.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749323.51 119759 9.943 4.822 4.191 5 5 0 0.000 123085 20.000 2.304 48324608.000 364826624.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749323.61 119759 9.943 4.822 4.191 5 5 0 0.000 123085 40.000 2.306 48386048.000 364883968.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749323.71 119759 9.943 4.822 4.191 5 5 0 0.000 123085 18.182 2.385 49795072.000 366518272.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749323.82 119759 9.943 4.822 4.191 5 5 0 0.000 123085 50.000 2.389 49872896.000 366678016.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538749323.92 119759 9.943 4.822 4.191 5 5 0 0.000 123085 36.364 2.321 48680960.000 365105152.000 1538749321.071 1538749321.069 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
