#ts enqueued_b enqueued_t bwe cur level max_level player_status paused_time downloaded_bytes cpu mem rss vms ts_start_req ts_stop_req url_segment byterange fragment_duration q0 q1 q2 q3 q4 q5
1574948971.35 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.366 49070080.000 364158976.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948971.45 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.368 49659904.000 364302336.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948971.56 59746 4.938 4.978 0.100 0 5 0 0.000 62068 18.182 2.384 49836032.000 364441600.000 1574948971.453 1574948971.553 http://192.168.1.254/car-20120827-160.mp4 62068-123084 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948971.66 119759 9.943 4.924 0.100 0 5 0 0.000 123085 10.000 2.388 50020352.000 364441600.000 1574948971.556 1574948971.655 http://192.168.1.254/car-20120827-160.mp4 123085-184134 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948971.76 179805 14.948 5.020 4.191 5 5 0 0.000 184135 9.091 2.391 50089984.000 364576768.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948971.86 179788 14.882 5.020 4.191 5 5 1 0.836 184135 10.000 2.396 50151424.000 364576768.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948971.97 179771 14.815 5.020 4.191 5 5 1 0.836 184135 10.000 2.407 50270208.000 364929024.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948972.07 179737 14.682 5.020 4.191 5 5 1 0.836 184135 10.000 2.415 50491392.000 365072384.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948972.17 179720 14.615 5.020 4.191 5 5 1 0.836 184135 10.000 2.424 50663424.000 365215744.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948972.27 179686 14.482 5.020 4.191 5 5 1 0.836 184135 10.000 2.432 50855936.000 365375488.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948972.37 179669 14.415 5.020 4.191 5 5 1 0.836 184135 10.000 2.442 51027968.000 365670400.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948972.47 179213 14.282 5.020 4.191 5 5 1 0.836 184135 10.000 2.451 51232768.000 365821952.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948972.57 178987 14.215 5.020 4.191 5 5 1 0.836 184135 18.182 2.459 51408896.000 365977600.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948972.67 177972 14.082 5.020 4.191 5 5 1 0.836 184135 10.000 2.467 51589120.000 366129152.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948972.78 177594 14.015 5.020 4.191 5 5 1 0.836 184135 10.000 2.476 51757056.000 366272512.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948972.88 176107 13.882 5.020 4.191 5 5 1 0.836 184135 20.000 2.484 51949568.000 366415872.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948972.98 175061 13.815 5.020 4.191 5 5 1 0.836 184135 0.000 2.493 52109312.000 366743552.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948973.08 172938 13.682 5.020 4.191 5 5 1 0.836 184135 20.000 2.503 52408320.000 366936064.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948973.18 171282 13.615 5.020 4.191 5 5 1 0.836 184135 9.091 2.475 51875840.000 366227456.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948973.28 168878 13.482 5.020 4.191 5 5 1 0.836 184135 20.000 2.436 51101696.000 365510656.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1574948973.39 166270 13.348 5.020 4.191 5 5 1 0.836 184135 10.000 2.439 51159040.000 365510656.000 1574948971.761 1574948971.759 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
