#ts enqueued_b enqueued_t bwe cur level max_level player_status paused_time downloaded_bytes cpu mem rss vms ts_start_req ts_stop_req url_segment byterange fragment_duration q0 q1 q2 q3 q4 q5
1573491129.76 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.201 45498368.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573491129.86 0 0.000 0.000 0.100 0 5 0 0.000 0 10.000 2.202 46182400.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573491129.96 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.202 46194688.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573491130.06 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.202 46194688.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573491130.17 0 0.000 0.000 0.100 0 5 0 0.000 0 10.000 2.202 46194688.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573491130.27 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.202 46194688.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573491130.37 0 0.000 0.000 0.100 0 5 0 0.000 0 10.000 2.202 46194688.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573491130.47 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.202 46194688.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573491130.57 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.202 46194688.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573491130.67 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.202 46194688.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573491130.77 0 0.000 0.000 0.100 0 5 0 0.000 0 10.000 2.202 46194688.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573491130.87 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.202 46194688.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
